mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin,carname,cluster_label
18.0,1.498191258034802,1.090603697954175,130.0,3504.0,-1.2954983442942447,70,1,chevrolet chevelle malibu,3
15.0,1.498191258034802,1.5035143043761154,165.0,3693.0,-1.477037792582784,70,1,buick skylark 320,3
18.0,1.498191258034802,1.196231992620253,150.0,3436.0,-1.6585772408713233,70,1,plymouth satellite,3
16.0,1.498191258034802,1.061795981227063,150.0,3433.0,-1.2954983442942447,70,1,amc rebel sst,3
17.0,1.498191258034802,1.0425908367423216,140.0,3449.0,-1.8401166891598626,70,1,ford torino,3
15.0,1.498191258034802,2.262117511523401,198.0,4341.0,-2.0216561374484017,70,1,ford galaxie 500,3
14.0,1.498191258034802,2.502181817582669,220.0,4354.0,-2.3847350340254803,70,1,chevrolet impala,3
14.0,1.498191258034802,2.3677458061894785,215.0,4312.0,-2.56627448231402,70,1,plymouth fury iii,3
14.0,1.498191258034802,2.5117843898250394,225.0,4425.0,-2.0216561374484017,70,1,pontiac catalina,3
15.0,1.498191258034802,1.8876171940709434,190.0,3850.0,-2.56627448231402,70,1,amc ambassador dpl,3
15.0,1.498191258034802,1.8203991883743487,170.0,3563.0,-2.0216561374484017,70,1,dodge challenger se,3
14.0,1.498191258034802,1.4074885819524083,160.0,3609.0,-2.747813930602559,70,1,plymouth 'cuda 340,3
15.0,1.498191258034802,1.9836429164946505,150.0,3761.0,-2.203195585736941,70,1,chevrolet monte carlo,3
14.0,1.498191258034802,2.5117843898250394,225.0,3086.0,-2.0216561374484017,70,1,buick estate wagon (sw),3
24.0,-0.8563205709794179,-0.7722953170657413,95.0,2372.0,-0.206261654563009,70,3,toyota corona mark ii,1
22.0,0.3209353435276921,0.0439233235357685,95.0,2833.0,-0.02472220627446969,70,1,plymouth duster,0
18.0,0.3209353435276921,0.0535258957781392,97.0,2774.0,-0.02472220627446969,70,1,amc hornet,0
21.0,0.3209353435276921,0.0631284680205099,85.0,2587.0,0.1568172420140696,70,1,ford maverick,0
27.0,-0.8563205709794179,-0.9259364729436725,88.0,2130.0,-0.3878011028515483,70,3,datsun pl510,1
26.0,-0.8563205709794179,-0.9259364729436725,46.0,1835.0,1.790672276610923,70,2,volkswagen 1131 deluxe sedan,4
25.0,-0.8563205709794179,-0.8011030337928534,87.0,2672.0,0.7014355868796874,70,2,peugeot 504,4
24.0,-0.8563205709794179,-0.8299107505199654,90.0,2430.0,-0.3878011028515483,70,2,audi 100 ls,1
25.0,-0.8563205709794179,-0.8587184672470776,95.0,2375.0,0.7014355868796874,70,2,saab 99e,4
26.0,-0.8563205709794179,-0.6954747391267756,113.0,2234.0,-1.1139588960057054,70,2,bmw 2002,1
21.0,0.3209353435276921,0.0535258957781392,90.0,2648.0,-0.206261654563009,70,1,amc gremlin,0
10.0,1.498191258034802,1.5995400267998223,215.0,4615.0,-0.5693405511400875,70,1,ford f250,3
10.0,1.498191258034802,1.090603697954175,200.0,4376.0,-0.206261654563009,70,1,chevy c20,3
11.0,1.498191258034802,1.196231992620253,210.0,4382.0,-0.7508799994286268,70,1,dodge d200,3
9.0,1.498191258034802,1.061795981227063,193.0,4732.0,1.064514483456766,70,1,hi 1200d,2
27.0,-0.8563205709794179,-0.9259364729436725,88.0,2130.0,-0.3878011028515483,71,3,datsun pl510,1
28.0,-0.8563205709794179,-0.5130258665217323,90.0,2264.0,-0.02472220627446969,71,1,chevrolet vega 2300,1
25.0,-0.8563205709794179,-0.7722953170657413,95.0,2228.0,-0.5693405511400875,71,3,toyota corona,1
